ID,country,governorate,edu_years,level_edu_ABIII,coledu,coledu_any,age,married,student,unemployed,agriman,lowstat,case
403,Algeria,Algiers,12,4,0,0,19,0,1,0,0,0,0
405,Algeria,Algiers,5,2,0,0,39,1,0,0,0,0,0
407,Algeria,Algiers,9,3,0,0,40,1,0,0,0,0,0
409,Algeria,Algiers,5,2,0,0,24,0,0,0,1,1,0
411,Algeria,Algiers,12,4,0,0,27,0,0,0,0,0,0
413,Algeria,Algiers,12,4,0,0,23,0,1,0,0,0,0
415,Algeria,Algiers,15,6,1,1,45,1,0,0,0,0,0
417,Algeria,Algiers,5,2,0,0,66,1,0,0,0,0,0
419,Algeria,Algiers,9,3,0,0,54,1,0,0,0,0,0
421,Algeria,Algiers,5,2,0,0,44,1,0,0,0,0,0
423,Algeria,Algiers,5,2,0,0,36,1,0,0,1,1,0
425,Algeria,Algiers,9,3,0,0,32,1,0,0,0,0,0
427,Algeria,Algiers,9,3,0,0,46,1,0,0,0,0,0
429,Algeria,Algiers,5,2,0,0,53,1,0,0,0,0,0
431,Algeria,Algiers,5,2,0,0,71,1,0,0,0,0,0
433,Algeria,Algiers,9,3,0,0,26,0,0,0,1,1,0
435,Algeria,Algiers,9,3,0,0,25,0,0,1,0,1,0
437,Algeria,Algiers,9,3,0,0,32,0,0,0,0,0,0
439,Algeria,Algiers,0,1,0,0,53,1,0,0,0,0,0
441,Algeria,Algiers,9,3,0,0,56,1,0,0,0,0,0
443,Algeria,Algiers,15,6,0,1,23,0,1,0,0,0,0
445,Algeria,Algiers,12,4,0,0,24,0,0,1,0,1,0
447,Algeria,Algiers,5,2,0,0,43,1,0,0,0,0,0
449,Algeria,Algiers,12,4,0,0,28,0,0,1,0,1,0
451,Algeria,Algiers,15,6,1,1,36,1,0,0,0,0,0
453,Algeria,Algiers,9,3,0,0,34,0,0,0,0,0,0
455,Algeria,Algiers,15,6,0,1,25,0,1,0,0,0,0
457,Algeria,Algiers,15,6,0,1,23,0,1,0,0,0,0
459,Algeria,Algiers,9,3,0,0,40,1,0,0,0,0,0
461,Algeria,Algiers,5,2,0,0,68,1,0,0,0,0,0
463,Algeria,Algiers,9,3,0,0,47,1,0,0,0,0,0
465,Algeria,Algiers,0,1,0,0,57,1,0,0,0,0,0
467,Algeria,Algiers,5,2,0,0,41,1,0,0,0,0,0
469,Algeria,Algiers,15,6,0,1,23,0,1,0,0,0,0
471,Algeria,Djelfa,12,4,0,0,18,0,1,0,0,0,0
473,Algeria,Djelfa,0,1,0,0,68,1,0,0,0,0,0
475,Algeria,Djelfa,0,1,0,0,69,0,0,0,0,0,0
477,Algeria,Djelfa,15,6,0,1,24,0,1,0,0,0,0
479,Algeria,Djelfa,9,3,0,0,27,0,0,0,0,0,0
481,Algeria,Djelfa,9,3,0,0,34,0,0,0,0,0,0
483,Algeria,Djelfa,0,1,0,0,58,1,0,0,0,0,0
485,Algeria,Djelfa,0,1,0,0,51,1,0,0,1,1,0
487,Algeria,Djelfa,15,6,0,1,27,0,1,0,0,0,0
489,Algeria,Djelfa,5,2,0,0,37,1,0,0,0,0,0
491,Algeria,Djelfa,9,3,0,0,31,0,0,1,0,1,0
493,Algeria,Djelfa,0,1,0,0,65,1,0,0,0,0,0
495,Algeria,Djelfa,12,4,0,0,31,1,0,1,0,1,0
497,Algeria,Djelfa,12,4,0,0,19,0,1,0,0,0,0
499,Algeria,Djelfa,5,2,0,0,56,1,0,0,0,0,0
501,Algeria,Jijel,14,5,0,0,33,0,0,0,0,0,0
503,Algeria,Jijel,0,1,0,0,67,1,0,0,0,0,0
505,Algeria,Jijel,9,3,0,0,49,1,0,0,0,0,0
507,Algeria,Jijel,14,5,0,0,21,0,1,0,0,0,0
509,Algeria,Jijel,0,1,0,0,76,1,0,0,0,0,0
511,Algeria,Setif,9,3,0,0,27,0,0,1,0,1,0
513,Algeria,Setif,5,2,0,0,40,0,0,0,0,0,0
